mandarine;мандарин;Mandarins are rich in vitamins.;Мандарины богаты витаминами.
garlic;чеснок;There's too much garlic.;Слишком много чеснока.
soft-boiled eggs;яйца всмятку;These eggs are soft-boiled.;Это яйца всмятку.
mint;мята;Mary brought Tom a cup of mint tea.;Мэри принесла Тому чашку чая с мятой.
tuna;тунец;Tuna can swim very fast.;Тунец может очень быстро плавать.
pizza;пицца;I deliver pizzas.;Я разносчик пиццы.
cucumber;огурец;Peel the cucumbers.;Почисти огурцы.
strawberry;земляника, клубника;This purse is strawberry.;Эта сумка клубничного цвета.
wine list;винная карта;Can I see the wine list?;Могу я посмотреть карту вин?
mustard;горчица;I'll have two hot dogs with mustard and ketchup.;Пожалуйста, две сосиски с горчицей и кетчупом.
sandwich;сэндвич;I dropped my sandwich.;Я выронил сэндвич.
lunch;обед;Stay for lunch.;Оставайся на обед.
spice;пряность;Spices improve dishes.;Специи улучшают вкус блюд.
lemonade;лимонад;The lemonade is cold.;Лимонад холодный.
low-fat;низкое содержание жира;Low-fat milk for me.;Мне обезжиренное молоко.
cream;сливки;Yogurt is made from milk and cream.;Йогурт делается из молока и сливок.
drink;напиток;Do you have alcohol-free drinks?;У вас есть безалкогольные напитки?
sauce;соус;Hunger is the best sauce.;Голод — лучший соус.
menu;меню;Here is your menu.;Вот ваше меню.
steak;стейк;The steak is well done.;Стейк хорошо прожарен.
seafood;морепродукты;This is the best seafood restaurant in this area.;Это самый лучший ресторан морепродуктов в этом районе.
cocktail;коктейль;That cocktail is sweet and easy to drink.;Коктейль сладкий и легко пьётся.
doughnuts;пончики;Have a doughnut.;Съешь пончик.
marmalade;мармелад;Tom put some marmalade on his toast.;Том положил немного мармелада на тост.
liter;литр;A liter of milk contains about thirty grams of protein.;Литр молока содержит около тридцати граммов белка.
blackberry;ежевика;Tom is eating blackberries.;Том ест ежевику.
lump;кусок;One lump of sugar, please.;Один кусок сахара, пожалуйста.
pomegranate;гранат;Did you buy the pomegranate juice?;Ты купил гранатовый сок?
beverage;напиток;What's your favorite non-alcoholic beverage?;Какой у тебя любимый безалкогольный напиток?
special;блюдо дня;What's the special today?;Какое сегодня блюдо дня?
cowberry;брусника;I was picking cowberries.;Я собирал бруснику.
no sugar;без сахара;No sugar for you?;Вам без сахара?
stew;рагу;The stew is still warm.;Рагу всё ещё тёплое.
napkin;салфетка;Clean your lips with the napkin.;Вытри губы салфеткой.
fig;инжир;Figs contain dietary fibre.;Инжир содержит пищевые волокна.
cereal;злак, каша;Mary prefers whole-grain cereals.;Мария предпочитает цельнозерновые злаки.
loaf;буханка;She bought a loaf of bread.;Она купила буханку хлеба.
dill;укроп;Borscht is often garnished with dill and sour cream.;Борщ часто подаётся с укропом и сметаной.
spicy;острый;It's too spicy.;Слишком остро.
pepper;перец;Add a little more pepper.;Добавьте ещё немного перца.
shrimp;креветка;My cat loves shrimp.;Мой кот обожает креветки.
slice;ломтик, нарезать;Slice the cucumbers.;Нарежьте огурцы.
beer;пиво;Two beers, please.;Два пива, пожалуйста.
chocolate;шоколад;Tom prefers coffee and chocolate with a slightly bitter taste.;Том любит горьковатый кофе и шоколад.
crispy crust;хрустящая корочка;How do you get a crispier crust?;Как сделать хрустящую корочку?
sparkling water;газированная вода;A glass of sparkling water, please.;Стакан газированной воды, пожалуйста.
orange;апельсин;Peel the orange.;Почисти апельсин.
beans;бобы;Chocolate is made from cocoa beans.;Шоколад делают из какао-бобов.
punch;пунш;Would you care for a drink of punch?;Хотите стакан пунша?
ice-cream;мороженое;I want ice cream.;Том любит мороженое.
croissant;круассан;I'll have a coffee and a croissant.;Кофе и круассан, пожалуйста.
ketchup;кетчуп;I'll have two hot dogs with mustard and ketchup.;Пожалуйста, две сосиски с горчицей и кетчупом.
apple;яблоко;Peel the apple.;Почисти яблоко.
espresso;эспрессо;Tom has an espresso machine.;У Тома есть эспрессо-машина.
cheeseburger;чизбургер;Tom ate a double cheeseburger.;Том съел двойной чизбургер.
carrot;морковь;Rabbits like carrots.;Кролики любят морковку.
soft drink;безалкогольный напиток;Do you have any soft drinks?;У вас есть безалкогольные напитки?
chicken breast;куриная грудка;Coat the chicken breast with flour.;Обваляйте куриные грудки в муке.
coconut;кокос;Coconuts have hard shells.;У кокосов прочная скорлупа.
banana;банан;Monkeys like bananas.;Обезьяны любят бананы.
wine;вино;I brought wine.;Я принёс вино.
book a table;заказать столик;I have booked a table for four.;Я забронировал столик на четверых.
eggplant;баклажан;They say that an eggplant has lots of nicotine.;Говорят, что в баклажанах много никотина.
cider;сидр;I love apple cider.;Я очень люблю яблочный сидр.
whole grain;цельное зерно;Mary prefers whole-grain cereals.;Мария предпочитает цельнозерновые злаки.
broccoli;брокколи;Eat your broccoli!;Ешь брокколи!
prune;чернослив;My prune cake is delicious;Мой кекс с черносливом вкусный.
pudding;пудинг;Can I have some more pudding?;Можно мне ещё пудинга?
hot chocolate;горячий шоколад;Mmm, hot chocolate!;Ммм, горячий шоколад!
hamburger;гамбургер;Most Americans like hamburgers.;Большинство американцев любят гамбургеры.
raspberry;малина;Raspberries are very expensive.;Малина очень дорогая.
lime;лайм;The children are playing under the lime tree.;Дети играют под лаймовым деревом.
ice;лед;The ice melted.;Лёд растаял.
smoothie;смузи;These melon smoothies are making me fat.;Эти дынные коктейли делают меня толстым.
mayonnaise;майонез;I mix mayonnaise with ketchup.;Я смешиваю майонез с кетчупом.
peach;персик;Peaches are fuzzy.;Персики пушисты.
olive;оливки;An olive branch symbolizes peace.;Оливковая ветвь символизирует мир.
salmon;лосось;Cut the salmon into small pieces.;Разрежьте лосось на мелкие кусочки.
boiled eggs;вареные яйца;He put a touch of salt on a boiled egg.;Он посыпал щепоткой соли варёное яйцо.
cappuccino;капучино;Italians only drink cappuccino in the morning.;Итальянцы пьют капучино только по утрам.
snack;лёгкая закуска;How about a snack?;Как насчёт перекусить?
raisin;изюм;Raisins are shrivelled grapes.;Изюм — это высохший виноград.
fresh;свежий;Eat more fresh vegetables.;Ешь больше свежих овощей.
milk;молоко;Cows give milk.;Коровы дают молоко.
portion size;размер порции;Reduce the size of your portions.;Уменьшите размер порций.
flour;мука;Coat the chicken breast with flour.;Обваляйте куриные грудки в муке.
mushrooms;грибы;He ate poisonous mushrooms.;Он поел ядовитых грибов.
trout;форель;He caught a large trout.;Он поймал крупную форель.
cheesecake;чизкейк;The cheesecake tasted too sweet.;Этот чизкейк был слишком сладким.
pork;свинина;Do you eat pork?;Ты ешь свинину?
pear;груша;This pear smells nice.;Эта груша вкусно пахнет.
lemon;лимон;These lemons are fresh.;Эти лимоны свежие.
rice;рис;We planted rice.;Мы посадили рис.
pumpkin;тыква;Do you want some pumpkin pie?;Хочешь тыквенного пирога?
bitter;горький;This coffee tastes bitter.;У этого кофе горький вкус.
watermelon;арбуз;Are there seedless watermelons?;Бывают арбузы без семечек?
coffee with cream;кофе со сливками;Coffee, please, with cream and sugar.;Пожалуйста, кофе со сливками и сахаром.
leaf;лист;She trembled like a leaf.;Она дрожала как лист.
onion;лук;He hates raw onions.;Он ненавидит сырой лук.
raw;сырой;We eat fish raw.;Мы едим рыбу сырой.
takeout;еда на вынос;Let's get takeout.;Давай возьмём еду на вынос.
Americano;американо;Is an Americano just black coffee?;Американо это просто черный кофе?
bacon;бекон;I smelled bacon.;Я почувствовал запах бекона.
kiwi;киви;I am allergic to kiwi.;У меня аллергия на киви.
mango;манго;Do you like mangoes?;Ты любишь манго?
cherry;вишня;Cherries are red.;Вишни красные.
beet;свекла;Mary turned red as a beet.;Мэри стала красная как свекла.
cornflakes;кукурузные хлопья;I eat cornflakes for breakfast.;Я ем кукурузные хлопья на завтрак.
cherry pie;вишневый пирог;Do you want some cherry pie?;Хочешь вишнёвого пирога?
date fruit;финик;Dates are also high in antioxidants.;В финиках много антиоксидантов.
maple syrup;кленовый сироп;Could you hand me the maple syrup?;Вы не передадите мне кленовый сироп?
protein;белок;Insects are full of proteins.;Насекомые состоят из белка.
strong drink;крепкий напиток;A bar is provided for those who like strong drinks.;Для любителей крепких напитков предусмотрен бар.
dessert;десерт;What is for dessert?;Что на десерт?
well-done;хорошо прожаренный;The steak is well done.;Стейк хорошо прожарен.
side dish;гарнир;Tomatoes may be served as a side dish.;Томаты могут подаваться как гарнир.
tomato;помидор;I grow tomatoes.;Я выращиваю помидоры.
seafood restaurant;рыбный ресторан;This is the best seafood restaurant in the neighborhood.;Это лучший ресторан морской кухни в окрестностях.
cocoa;какао;How about a cup of cocoa?;Как насчёт чашки какао?
beef stew;тушеная говядина;I had beef stew for lunch.;На обед у меня была тушёная говядина.
dinner;ужин;I cooked dinner.;Я приготовил ужин.
vitamins;витамины;Even chocolate has vitamins.;Даже в шоколаде содержатся витамины.
ham sandwich;сэндвич с ветчиной;Let me make you a ham sandwich.;Давай я сделаю тебе бутерброд с ветчиной.
salad;салат;Who brought the salad?;Кто принёс салат?
popcorn;попкорн;Where's my popcorn?;Где мой попкорн?
milk tea;чай с молоком;I've never drank milk with tea.;Я никогда не пил чай с молоком.
pea;горох;The twin brothers are like two peas.;Братья-близнецы — как две горошинки.
grapes;виноград;These grapes taste sour.;Эти виноградины кислые на вкус.
ham;ветчина;Let me make you a ham sandwich.;Давай я сделаю тебе бутерброд с ветчиной.
ripe;спелый;Ripe bananas are yellow.;Спелые бананы имеют жёлтый цвет.
bean;фасоль;I hate beans.;Ненавижу фасоль.
chicken soup;куриный суп;Your chicken soup is great.;Ваш куриный суп восхитителен.
dairy products;молочные продукты;I seldom eat dairy products.;Я редко ем молочные продукты.
tea;чай;More tea?;Ещё чаю?
table for two;столик на двоих;I'd like to reserve a table for two.;Я бы хотел зарезервировать столик на двоих.
sour;кислый;Lemon is sour.;Лимон кислый.
pub;паб;Where is the nearest pub?;Где ближайший паб?
cheese;сыр;Say cheese.;Скажи "сыр".
enjoy your meal;приятного аппетита;Please help yourself. Enjoy your meal!;Угощайтесь, приятного аппетита!
apricot;абрикос;Peaches are larger than apricots.;Персики крупнее, чем абрикосы.
grapefruit;грейпфрут;I had half a grapefruit for breakfast.;Я съел половину грейпфрута на завтрак.
medium rare;средней прожарки;I like my steak medium rare.;Я люблю стейк не слишком прожаренный.
have a snack;перекусывать;Can't we have a snack or something?;Нельзя ли нам чего-нибудь перекусить?
blueberry;черника;I really like blueberry ice cream.;Мне очень нравится черничное мороженое.
celery;сельдерей;Celery can be chopped up in a salad!;Сельдерей можно покрошить в салат.
starter;закуска;We ordered a bunch of starters.;Мы заказали кучу закусок.
boil;кипеть;Boil some water.;Вскипяти немного воды.
candy;конфета;Try this candy.;Попробуй эту конфету.
French fries;картофель фри;Everybody likes french fries.;Все любят картошку фри.
potato;картофель;Boil those potatoes.;Свари картошку.
decaffeinated coffee;кофе без кофеина;I only drink decaffeinated coffee.;Я пью кофе только без кофеина.
waffles;вафли;We made waffles.;Мы испекли вафли.
vegetarian food;еда для вегетарианцев;This Indian restaurant only serves vegetarian food.;В этом индийском ресторане подают только вегетарианскую пищу.
champagne;шампанское;The champagne cork popped out.;Пробка от шампанского вылетела.
seasoning;приправа;Seasoning blend;Смесь приправ.
pineapple;ананас;I eat pineapple sherbert.;Я ем ананасовый шербет.
maize;кукуруза;Genetically modified maize;Генетически модифицированная кукуруза.
biscuit;печенье;No more biscuits!;Хватит печенья!
pancake;блин;Flip the pancake over.;Переверни блин.
avocado;авокадо;Avocado is a fruit.;Авокадо - это фрукт.
cake;торт;Cut the cake.;Разрежь торт.
milkshake;молочный коктейль;Please make a milkshake for me.;Сделайте мне, пожалуйста, молочный коктейль.
calories;калории;Water has zero calories.;В воде ноль калорий.
honey;мёд;Bees make honey.;Пчёлы делают мёд.
sausage;сосиска;The sausage is too fat.;Колбаса слишком жирная.
breakfast;завтрак;Breakfast is ready.;Завтрак готов.
main course;основное блюдо;We usually order grilled octopus before the main course.;Обычно мы заказываем осьминога гриль перед главным блюдом.
grill;жарить на гриле;We usually order grilled octopus before the main course.;Обычно мы заказываем осьминога гриль перед главным блюдом.
juice;сок;We sell orange juice.;Мы продаём апельсиновый сок.
salt;соль;Pass the salt.;Передай соль.
crisps;чипсы;Emily bought a packet of crisps.;Эмили купила пакетик чипсов.
latte;латте;Latte is a coffee drink of Italian origin;Латте - напиток итальянского происхождения
meal;еда;We ordered the meal.;Мы заказали еду.
coffee;кофе;Tom prefers coffee and chocolate with a slightly bitter taste.;Том любит горьковатый кофе и шоколад.
ginger;имбирь;This is a ginger drink.;Это имбирный напиток.
melon;дыня;Cut the melon into six equal pieces.;Разрежь дыню на шесть равных частей.
ask for the bill;попросить счет;Did you ask the waiter for the bill?;Ты попросил у официанта счёт?
plum;слива;These plums are ripe.;Эти сливы уже созрели.
cabbage;капуста;Cabbage can be eaten raw.;Капусту можно есть сырой.
yogurt;йогурт;This yogurt tastes strange.;У этого йогурта странный вкус.