preserve;сохранять
enormous;гигантский
cigarette;сигарета
factory;фабрика
valuable;ценный
clip;зажим
electric;электрический
giant;гигантский
slave;раб
submit;разместить, подавать, подчиняться
effectively;эффективно
monitor;монитор
resolve;разрешать, решать
remaining;оставшийся
participation;участие
stream;ручей
rid;избавлять
origin;происхождение
teen;подросток
congressional;относящийся к конгрессу
bind;связывать, скреплять
coat;пальто, покрывать, шерсть
tower;башня
license;лицензия
twitter;щебетать, щебет
impose;навязывать
innocent;невиновный
curriculum;учебная программа
mail;почтовая служба, почта
insight;проницательность, озарение
investigator;следователь, исследователь
virus;вирус
hurricane;ураган
accurate;точный
provision;обеспечение, положение
communicate;общаться, сообщать
vary;варьироваться
jacket;пиджак, куртка
increasing;увеличивающийся
equally;в равной степени, одинаково
implication;то, что подразумевается
fiction;художественная литература
protest;протест
mama;мама
imply;подразумевать
twin;близнец
pant;штаны, задыхаться
bend;сгибать, изгиб
shock;поражать, шок
criteria;критерий
arab;арабский, араб
dirty;грязный
toy;игрушка
potentially;потенциально
assault;нападение
peak;пик
anger;злость, гнев
boot;запуск, загрузка
dramatic;драматичный
peer;ровня, сверстник, вглядываться
enhance;увеличивать
math;математика
slide;горка, скользить
favor;благоволить, услуга
pink;розовый
dust;пыль
aunt;тётя
lost;заблудившийся, потерянный
prospect;перспектива
mood;настроение
settlement;поселок, урегулирование
justify;выравнивать, оправдывать
depth;глубина
juice;сок
formal;формальный
virtually;виртуально
gallery;галерея
tension;напряжение
throat;горло
draft;проект, набросок, черновик
reputation;репутация
index;показатель, индекс
normally;как правило
mess;беспорядок
joy;радость, удовольствие
steel;сталь
motor;мотор, двигатель
enterprise;предприятие
salary;зарплата
moreover;более того
cousin;кузен
ordinary;обычный
evolution;развитие, эволюция
so-called;так называемый
helpful;полезный
competitive;соревновательный, конкурентоспособный
lovely;прелестный, мило
fishing;рыбалка
anxiety;тревога
carbon;углерод
essay;эссе
islamic;исламский
drama;драма
odd;нечётный, необычный, странный
evil;зло
stranger;чужак, незнакомец, чужой, незнакомый, странный
belt;приводной ремень, пояс, зона, сильный удар, ремень, удар, патронная лента, полоса, выть, наносить удар, подпоясывать
urge;побуждать, призывать, порыв
toss;швырять, жеребьевка
fifth;пятыйй
formula;формула
potato;картофель
monster;монстр
telephone;телефон
rape;изнасилование
palm;ладонь
jet;реактивный самолет, струя
navy;военно-морской флот
excited;взволнованный
plot;сюжет, заговор
angle;угол
criticize;критиковать 
prisoner;заключённый
discipline;дисциплина
negotiation;переговоры
damn;черт побери
butter;масло
desert;пустыня
complicated;трудный для понимания
prize;приз
blind;слепой
assign;назначать
bullet;пуля
awareness;осведомлённость, осознание
sequence;последовательность
illustrate;иллюстрировать
provider;провайдер, поставщик
minor;незначительный, небольшой
activist;активист
poem;стихотворение
vacation;отпуск
weigh;весить, вес
gang;банда
privacy;конфиденциальность, частная жизнь
clock;часы
arrange;договариваться, организовывать
penalty;наказание
stomach;желудок, живот
concert;концерт
originally;сначала, изначально
statistics;статистика
electronic;электронный
properly;как следует
bureau;бюро
wolf;волк
classic;классический
recommendation;рекомендация
exciting;захватывающий, волнующий
maker;производитель, создатель
dear;дорогой
impression;впечатление
broken;сломанный
battery;батарея,
narrative;повествование
arise;возникать, происходить
sake;причина, цель
delivery;доставка
forgive;прощать
visible;видимый
heavily;тяжело, сильно
junior;младший
rep;репутация, представитель
diversity;разнообразие
string;верёвка, струна, шнурок, ряд
lawsuit;иск
latter;второй, последний
cute;милый
deputy;заместитель, депутат
restore;восстанавливать, реконструировать
buddy;приятель
psychological;психологический
besides;кроме того
intense;сильный
friendly;дружелюбный
lane;переулок, полоса,  дорожка
hungry;голодный
bean;фасоль
sauce;соус
dominate;доминировать, преобладать
testing;испытание, тестирование
trick;обман, уловка, трюк
fantasy;воображение, фантазия
absence;отсутствие
offensive;атакующий, оскорбительный, тошнотворный, атака
symbol;знак, символ
recognition;признание, узнавание, распознавание 
detect;обнаруживать
tablespoon;столовая ложка
construct;строить, конструкция
approval;одобрение